open_time,open_price,high_price,low_price,close_price,volume,turnover
1713896700000,66773.9,66786.8,66723,66726,114.288,7628221.224
1713897000000,66726,66750,66667.6,66667.6,108.849,7260831.0831
1713897300000,66667.6,66716.6,66651.3,66660,73.703,4914403.7739
1713897600000,66660,66666,66547.2,66658.7,239.056,15922846.5991
1713897900000,66658.7,66747.5,66602,66659.1,146.664,9780715.9313
1713898200000,66659.1,66698.7,66635.5,66693.5,86.065,5737671.0768
1713898500000,66693.5,66761.5,66693.4,66761.4,102.51,6841274.8469
1713898800000,66761.4,66761.5,66661.2,66676.8,83.629,5578677.3949
1713899100000,66676.8,66700,66645.3,66679.9,99.703,6647354.6878
1713899400000,66679.9,66721.3,66653,66662.5,103.665,6911693.4552
1713899700000,66662.5,66662.5,66507.1,66563.6,286.686,19082568.5866
1713900000000,66563.6,66613.8,66550,66613.8,98.533,6559325.0285
1713900300000,66613.8,66613.8,66555.4,66557.7,55.615,3703024.7305
1713900600000,66557.7,66572.3,66401,66501.9,561.336,37303386.2134
1713900900000,66501.9,66546.4,66450.9,66545.4,370.125,24617405.6082
1713901200000,66545.4,66564,66469.7,66486,136.802,9098780.2193
1713901500000,66486,66517.2,66430.1,66456.5,168.938,11228927.9016
1713901800000,66456.5,66463.4,66418.1,66424,124.744,8287446.4219
1713902100000,66424,66457.7,66354.4,66457.7,202.08,13419946.1629
1713902400000,66457.7,66466.6,66373,66382,221.069,14682360.8698
1713902700000,66382,66388.1,66173.1,66306.3,1208.438,80066572.5794
1713903000000,66306.3,66321.8,66180.6,66206,254.705,16874638.1196
1713903300000,66206,66240.3,66030,66040.7,833.378,55103433.7011
1713903600000,66040.7,66143.5,65929.8,66090,996.227,65770294.3577
1713903900000,66090,66198.4,66090,66152,189.109,12508838.014
1713904200000,66152,66250,66080,66236.1,324.104,21452401.5173
1713904500000,66236.1,66258,66209.4,66258,151.214,10015622.1952
1713904800000,66258,66305.4,66257.9,66268.1,187.506,12429117.3409
1713905100000,66268.1,66281.9,66241,66274.6,140.424,9304090.4165
1713905400000,66274.6,66274.6,66220.6,66247.9,84.164,5575710.2917
1713905700000,66247.9,66340,66178.6,66329,352.146,23329167.5702
1713906000000,66329,66329,66275.6,66316.5,71.614,4747874.281
1713906300000,66316.5,66373.9,66291.9,66317.4,153.859,10207104.33
1713906600000,66317.4,66328,66285.3,66321.4,74.036,4908523.1662
1713906900000,66321.4,66321.4,66258.8,66308.6,96.346,6385790.5246
1713907200000,66308.6,66308.6,66264,66292.8,103.805,6880725.7519
1713907500000,66292.8,66428.5,66292.8,66427.3,472.685,31379598.855
